source_id,classification,evidence
EC18,CONTINUING,"Telemetry to TriggerEvidence wiring and INVALID reporting remain open."
EX02,CONTINUING,"Containment exists; root-cause proof and quarantine-removal gate remain."
EX03,CONTINUING,"Containment is done; candidate-level fault identity and root cause remain open."
GP11,CONTINUING,"N-way AllReduce landed; soak, topology, size qualification, and production disposition remain."
GP13,CONTINUING,"Diagnostic kernel works; production disposition and newer-v7 validation remain."
HI102,CONTINUING,"Gate infrastructure landed; real evidence pass and CLI apply wiring remain."
HI104,CONTINUING,"Nested C++ writer correction never landed; schema and live-HIP validation remain."
HI119,CONTINUING,"Harness exists; schema-2 real-hardware rebuild and evidence remain."
HI125,CONTINUING,"Verifier gate is complete but live production workflow validation remains open."
HI130,AMBIGUOUS,"Pending replay-effectiveness text conflicts with HI131's claim that the bug was fixed and live-verified."
HI131,CONTINUING,"Cross-revision retention and delta-retune remain explicitly open."
HI132,TERMINAL-COMPLETE,"Implementation and real dual-GPU E2E succeeded; notes say no code changes are needed."
HI14,CONTINUING,"Offline validator is done; real capture lifecycle and hardware evidence remain."
HI142,CONTINUING,"Partial RCCL passes; RQ09/P2.6/P2.7 and production-admission gates remain."
HI143,TERMINAL-COMPLETE,"Fresh real E2E proves allow/block behavior; core mechanism needs no further validation."
HI145,TERMINAL-COMPLETE,"Design-only deliverable settled; implementation was delegated to HI146/HI147/HI148."
HI146,CONTINUING,"Topology gate implementation, tests, and Brutus validation remain."
HI147,CONTINUING,"Implementation, tests, and hardware validation have not started."
HI153,CONTINUING,"Live pin-bump works; synthetic STOP/resume E2E regression remains unwritten."
HI154,TERMINAL-COMPLETE,"Scoped investigation explicitly closed; residual scalability work is a follow-up."
HI158,CONTINUING,"Lazy-native-select optimization remains planned and unimplemented."
HI166,TERMINAL-COMPLETE,"Implementation and real-hardware acceptance complete; patch-state transition delegated to HI171."
HI168,CONTINUING,"Runtime/parity qualification and hardware matrix remain."
HI170,CONTINUING,"Runtime matrix, preflight, quiescence, and TOCTOU implementation have not started."
HI171,CONTINUING,"Multi-session DoD still requires cache refresh, audits, performance matrix, and MTP equivalence."
HI173,CONTINUING,"BLAS-family search, implementation, promotion, and hipBLASLt follow-on remain."
HI174,CONTINUING,"Non-matmul dispatch acceptance checklist remains unstarted."
HI25,CONTINUING,"Readiness foundation exists; future custom-kernel stages remain unimplemented."
HI31,CONTINUING,"Offline integration is done; real HIP tuned-to-promoted-to-replay-to-dispatch validation remains."
HI35,CONTINUING,"Tooling landed; profiling, re-baseline, and documentation gates remain."
HI75,CONTINUING,"Generalized digest, lookup, coverage, holdout, and alignment work remains."
HI140,CONTINUING,"Qwen matrix is blocked at preflight; source/fit resolution and hardware execution remain."
HI84,CONTINUING,"RCCL arm is superseded, but META D=3/D=4 qualification remains unfinished."
KC01,CONTINUING,"EC16/EC19 representation sufficiency decision and closure gate remain."
KC02,CONTINUING,"Graph/DAG lifecycle identity, dependency, conflict, and provenance implementation remains planned."
NRO01,CONTINUING,"Q8 wire patch remains untested; correctness, quality, and performance qualification are required."
NRO03,CONTINUING,"P2P provider correctness probes, fallback, and performance qualification remain."
NRO13,CONTINUING,"Upstream ancestry/backport decision and qualification remain."
PA04,CONTINUING,"Software work is largely complete; overlay, hardware, cross-machine, and final acceptance gates remain."
RD04,CONTINUING,"Port exists; correctness matrix and cross-architecture repeat remain."
RD05,CONTINUING,"Patch exists; isolated benchmark and correctness qualification remain."
RD07,CONTINUING,"Patch exists; eligibility benchmark and EX02 safeguard re-verification remain."
RD09,CONTINUING,"Stage 1 is closed only; later stages remain."
RD100,CONTINUING,"Run-id/lock issue resolved, but the original instant-fake-OK symptom remains unexplained."
RD102,CONTINUING,"New numerical-equivalence contract remains explicitly open."
RD13,CONTINUING,"Offline safety improved; CUDA equivalence, graph capture, and performance remain."
RD21,CONTINUING,"Experiment is deferred/gate-blocked on the gfx1151 prerequisite."
RD30,CONTINUING,"Candidate identity/disposition and full n_expert=256 E2E qualification remain."
RD39,TERMINAL-DEPRECATED,"Upstream PR #26574 supersedes local work; no further work remains unless upstream changes."
RD50,AMBIGUOUS,"The item says gfx1151 performance remains blocked while RD89 reconciliation labels RD50 done."
RD62,CONTINUING,"NRO06 folded into RD62; implementation and qualification remain under this owner."
RD76,CONTINUING,"Matching upstream candidate identified; port and validation remain pending."
RD89,TERMINAL-COMPLETE,"Explicit reference/reconciliation content, not a work item, with no acceptance criteria."
RE30,CONTINUING,"Stock Vulkan/scaffolding exists; record, tune, and replay phases have not started."
RE32,CONTINUING,"Capability ABI design and implementation remain."
RE33,CONTINUING,"Real Vulkan device and ICD identity replacement remains planned."
RE35,CONTINUING,"Work-root/upstream non-overlap guard remains unimplemented."
RE36,CONTINUING,"Forced Vulkan execution and telemetry remain blocked on RE30/RE32 foundations."
RE40,CONTINUING,"Foundations landed but residual adoption and validation scope remains."
RE42,CONTINUING,"Foundations landed but residual adoption and validation scope remains."
RO02,CONTINUING,"Stack propagation work is pending; acceptance remains unchecked."
RO03,CONTINUING,"Canonical backend identity/probing implementation is pending; acceptance is unchecked."
RO04,CONTINUING,"BuildPlan/cache stack-identity implementation is pending; acceptance is unchecked."
