source_id,unfinished_work,acceptance_boundary,capability,split_assessment,overlap_assessment,historical_evidence,active_dependencies,reference_notes
CD01,Deferred RE11 durability protocol remains explicitly retained; cross-process run resume is unfinished.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI82,RE11,RE15,RE23,RE25,docs/planning/active/reusable-build-campaign/RE11.md.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (6) on predecessor.
CO02,"Patch-test regressions have partial lineage fixes, but CO02 still owns unresolved cleanup including the HI104 nested-runtime failure.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: CO01,HI134,HI85,RD73,VA25.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (5) on predecessor.
DO01,"Reference cleanup has landed incrementally, but the frozen item remains in progress without evidence that its full classification/relocation boundary is accepted.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI36,PA18.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (2) on predecessor.
DR01,"The environment mechanism exists, but the source explicitly leaves the mechanical multi-file prose/path migration undone.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
EC14,The Vulkan MoE ubatch boundary sweep and resulting campaign/recommendation disposition are still unevaluated.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC01,EC03.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (2) on predecessor.
EC18,Telemetry to TriggerEvidence wiring and INVALID reporting remain open.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC06,EC07,EC09.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (3) on predecessor.
EX02,Containment exists; root-cause proof and quarantine-removal gate remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EX01,HI48,HI54,HI71.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (4) on predecessor.
EX03,Containment is done; candidate-level fault identity and root cause remain open.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI60.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (1) on predecessor.
GP09,"RCCL 2.27.7, hierarchical bridge, and pinned-host fallback candidates still require real-hardware disposition against META.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: GP01,GP02,GP06,GP07,GP08,GP10,HI138.","Frozen dependencies: GP01,GP02,GP06,GP10.",Rewrite forward references (1); preserve historical references (7) on predecessor.
GP11,"N-way AllReduce landed; soak, topology, size qualification, and production disposition remain.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: GP01,GP02,GP03,GP04,GP05,GP06,GP08,GP10+1.","Frozen dependencies: GP01,GP03,GP09,GP10.",Rewrite forward references (6); preserve historical references (9) on predecessor.
