source_id,classification,evidence
CD01,CONTINUING,Frozen plan keeps this valid but dormant; reactivation awaits a real restart/resume failure.
CO02,CONTINUING,Frozen plan records reproducible stale-test failures; root causes and fixes remain open.
DO01,CONTINUING,Frozen plan is in_progress; documentation-placement audit and artifact relocation remain.
DR01,CONTINUING,Frozen plan says the mechanism exists but the mechanical 40-file prose migration remains.
EC14,CONTINUING,"Frozen plan is an unevaluated Vulkan campaign-boundary recommendation, not a completed decision."
GP09,CONTINUING,Frozen plan requires real fallback performance evidence or a documented negative result; neither is recorded.
GP12,CONTINUING,Frozen plan records naive pinning crash; alternate split/code-path work remains unvalidated.
HI120,CONTINUING,Frozen plan identifies RD12/RD17 signature gaps; hardening work remains pending.
HI133,CONTINUING,Frozen plan marks perf integration and target-question hardware validation NOT DONE.
HI137,CONTINUING,Frozen plan is a pending source/debug investigation with reproduction and mixed-architecture validation outstanding.
HI144,CONTINUING,Frozen plan says the discriminator experiment and phase-tag instrumentation are not yet run.
HI148,CONTINUING,Frozen plan is the final admission step, waiting for HI146/HI147 real-hardware completion.
HI149,CONTINUING,Frozen plan still requires deciding whether to fix/delete the live-tree stale test.
HI150,TERMINAL-COMPLETE,Frozen notes say the design is complete and split into implementation items HI151-HI153.
HI159,CONTINUING,Frozen steps still require replacing diagnostic atomic RMWs, auditing helpers, and measuring.
HI160,CONTINUING,Frozen plan says replay runs are uninterpretable because kill -9 destroys launch evidence.
HI161,CONTINUING,Frozen review will not call cache-key identity repository-wide complete; proof-table work remains.
HI163,CONTINUING,Frozen plan diagnoses persistent-digest lookup overhead; runtime-identity redesign remains open.
HI164,CONTINUING,Frozen plan proposes graph-lifetime binding to eliminate per-dispatch lookup; implementation is not recorded.
HI165,CONTINUING,"Frozen plan has tune advisories implemented, but other stage advisories, tests, and machine-readable output remain."
HI169,CONTINUING,Frozen notes remove the prototype from baseline but preserve it for deliberate later review.
HI172,CONTINUING,Frozen plan records an initial trace but requires further causal/critical-path investigation.
HI175,CONTINUING,Frozen plan is not started and is blocked on HI174 foundational dispatch work.
HI176,CONTINUING,Frozen plan is not started and is blocked on HI174 pilot findings.
HI177,CONTINUING,Frozen plan is not started; flash-attention work is blocked on HI174 and a pilot cycle.
HI178,CONTINUING,Frozen plan is not started and leaves standalone-vs-BLAS scope unresolved.
HI179,CONTINUING,Frozen plan is not started and is blocked on HI174.
HI26,CONTINUING,Frozen plan is in_progress with multiple implementation and validation phases remaining.
HI86,CONTINUING,Frozen plan explicitly stays pending/backlog until a concrete topology-planner need forces it.
HI94,CONTINUING,"Frozen plan leaves hardware-separation, fallback, cache-corruption, and graph-capture tests to build."
HI95,CONTINUING,Frozen plan leaves screen-canary implementation and real-hardware validation outstanding.
HTR02,CONTINUING,Frozen plan requires a durable witness schema/store and reuse-policy tests; not implemented.
HTR04,CONTINUING,Frozen plan stays pending until real HTR01 usage data supports retune-escalation design.
HTR05,CONTINUING,Frozen notes say no work has started; the BH/BY/Holm empirical study remains.
HTR06,CONTINUING,Frozen plan is a not-started bounded E2E ranking-fidelity investigation.
HTR07,CONTINUING,Frozen plan records the recovery rationale but leaves adaptive bisection to implement/validate.
KC03,CONTINUING,Frozen plan is a conditional decision gate; evidence/ownership matrix and closure decision are not recorded.
KC04,CONTINUING,Frozen plan defers the scope decision until RO16-RO22; no closure or follow-up decision is recorded.
NRO02,CONTINUING,Frozen plan remains active/pending with unfinished future scope or validation.
NRO04,CONTINUING,Frozen plan remains active/pending with unfinished future scope or validation.
