source_id,classification,evidence
CD01,CONTINUING,Deferred RE11 durability protocol remains explicitly retained; cross-process run resume is unfinished.
CO02,CONTINUING,"Patch-test regressions have partial lineage fixes, but CO02 still owns unresolved cleanup including the HI104 nested-runtime failure."
DO01,CONTINUING,"Reference cleanup has landed incrementally, but the frozen item remains in progress without evidence that its full classification/relocation boundary is accepted."
DR01,CONTINUING,"The environment mechanism exists, but the source explicitly leaves the mechanical multi-file prose/path migration undone."
EC14,CONTINUING,The Vulkan MoE ubatch boundary sweep and resulting campaign/recommendation disposition are still unevaluated.
GP09,CONTINUING,"RCCL 2.27.7, hierarchical bridge, and pinned-host fallback candidates still require real-hardware disposition against META."
GP12,CONTINUING,"The naive tensor override produced a negative result, but the source explicitly leaves split-mode discrimination and possible graph-builder work open."
HI120,CONTINUING,Explicit signature coverage for RD12 dst_gate and RD17 x_scale_channel_dst remains follow-up work while those candidate paths remain active.
HI133,CONTINUING,"Perf availability was unblocked, but perf.py integration and real-target CPU call-graph validation are explicitly not done."
HI137,CONTINUING,Heterogeneous RCCL dispatch root-cause and fix-or-no-fix investigation remains unperformed.
HI144,CONTINUING,"The hypothesis was narrowed, but the four-way discriminator and phase-tagged dispatch instrumentation remain unexecuted."
HI148,CONTINUING,Production promotion remains dependent on still-open HI146/HI147 validation gates.
HI149,CONTINUING,The original RD13-regression theory was corrected to a stale-test assumption; fixing or deleting that mutable-tree test remains outstanding.
HI150,TERMINAL-COMPLETE,"The design deliverable is explicitly complete and converged; implementation ownership was split to HI151, HI152, and HI153."
HI159,CONTINUING,"Diagnostic atomic-removal changes landed, but the frozen item still specifies audit/compile-out/measurement validation and contains no completed acceptance record."
HI160,CONTINUING,"The source records the required replay instrumentation, but final_tuned_launches/per-winner/fallback-after-exact evidence is not implemented or validated."
HI161,CONTINUING,Brutus reproduction confirmed standalone AUTO winners diverge from production; root-cause and harness correction remain owned here.
HI163,TERMINAL-COMPLETE,"op_variant_id cache-key correction was implemented, tested, merged, and hardware-retested; remaining performance root cause is explicitly assigned to other items."
HI164,CONTINUING,Typed op_variant_id cleanup plus helper/test refactoring remains explicit post-HI163 work.
HI165,CONTINUING,Testing-state build/A-B/recovery/promotion lifecycle support and tests remain unimplemented.
HI169,CONTINUING,Coverage-tolerant single-GPU tune application is still retained as a future experiment with no terminal disposition.
HI172,CONTINUING,"Two-GPU evidence narrows the issue, but the GPU0/27B production-path mismatch and follow-up experiments remain unresolved."
HI175,CONTINUING,RoPE candidate search is explicitly not started and is blocked on HI174 proving the non-matmul dispatch/candidate pattern.
HI176,CONTINUING,rmsnorm/norm candidate search is explicitly not started and blocked on HI174.
HI177,CONTINUING,Flash-attention candidate search is explicitly not started and blocked on HI174 plus a simpler pilot-op cycle.
HI178,CONTINUING,Quantize/dequantize candidate search is explicitly not started; HI174 and the overlap check with HI173 remain prerequisites.
HI179,CONTINUING,Softmax/GLU candidate search is explicitly not started and blocked on HI174.
HI26,CONTINUING,RD89 reconciliation explicitly retains HI26 as a real internally designed kernel candidate; implementation/qualification remains outstanding.
HI86,CONTINUING,The source explicitly says the broader topology-aware planner should stay pending/backlog until concrete need arises; it is not terminal.
